jujur nyaman pakai ajaib eh error verifikasi identitas akun bulanan usianya isi aset btc eth kecewa sih ajaib error	negative
install aplikasi portofolio saham hilang aplikasi ajaib satunya min tolong penjelasannya	neutral
aplikasi bagus bermanfaat	positive
tolong tambahkan fitur tersadar profit	positive
tidak stop lost kalau mempertahanakan trader wajib stop lost kalau metrade trailing stop b kalau strailing stop	positive
berita bahas inggris	neutral
aplikasi bagus sayangnya tidak mengirim kripto dompet terima kripto terbatas aset	positive
aplikasinya praktis mudah cocok pemula belajar fiturnya rekomended	positive
ajaib mengapa tidak login login eror perbaiki	positive
penghasilan bulanan	neutral
kolom dibutuhkan kosong digital signature tolong perbaiki	positive
bagus sih aplikasi sayang pajak bungnya perpindahan mata uang rupiah usdt token usdt harap usdt ganjil genap tranfers token usdt minimunya usdt platfrom transfer token usdt harap transfer token crypto kasih bintang perbaiki ubah	positive
deposit masuk masuk dana nya	neutral
mencoba aplikasi crypto terbaik pembaruan harga real time akurat berita memberikan wawasan berharga pasar merekomendasikan siapa mencari aplikasi crypto andal	positive
saran ajaib kripto tidak rekomendasi orang belajar kripto hambatan temui harga pasar tidak sesuai penarikan susah semacamnya	negative
keren investasi pemula mudah dimengerti	positive
pembayaran rnd baca tensorflow rupiah masuk saldo rnd tolong perbaiki uang bantuan terima kasih	positive
belajar	neutral
aplikasinya bagus cocok pemula pakainya gampang bahas mudah mengerti	positive
semoga koin koinya kalau mengurangi biaya feenya ya	positive
aplikasi bagus mudah dimengerti uang rebahan membantu belajar masukan refferal as ch biar akunmu terverifikasi semoga beruntung	positive
bagus masukan kalau fitur cek profit kayak ajaib saham	positive
mengajukan perubahan akun rekening tolak alasan tidak akun bank	negative
saldo hilang juta riwayat tidak pembelian kripto senilai juta parah	negative
sangatt membantu pemulla fitur nya gampang bagus	positive
aplikasi jelek koin tidak	negative
aplikasi keren belajar investasi mudah verifikasinya cepat lho anti rumit rumit club	positive
aplikasi the best transaksi gampang mudah memahami	positive
menikmati fitur ajaib crypto kecewa tanpa alasan pesanan beli rejeck tidak pesanan beli coin harap tindak ajaib tidak kecewa aplikasi ajaib jelek aplikasi tidak menyediakan live chat melayani keluhan pengguna menannyakan aplikasi langsung	negative
aplikasi cacat kalau sell harga lag pas harga turun jual mending apk sebelah	negative
update tambahkan widget nya min tidak widgetnya	neutral
mending suka error parah rugi juta	negative
cocok pemula fiturnya simple mudah dipahami	positive
login bermasalah jaringan bagus	positive
bug gangguan	neutral
fee nya mahal bjirr	neutral
tampilan menarik fitur memadai memudahkan pemula direkomendasikan pemula coba coba belajar kripto	positive
tolong tingkatkan stabil	positive
akun tidak login pesan kalau email tidak terdaftar	neutral
apknya bagus mudah belajar pakai kripto membantu	positive
error aplikasi error akun error kendala respon penanganan lambat stop memakai aplikasi token aset miliki hilang aplikasi mengerikan	negative
bagus pertahankan	positive
aplikasi investasi terbaik fitur fitur nya user friendly mudah dipahami suka pokoknya	positive
iseng aplikasi treding ketemu ajaib kripto mudah tampilan friendly mantap	positive
tidak buka jam	negative
aplikasi ajaib kripto memberikan solusi lengkap kebutuhan investasi kripto pembelian manajemen portofolio	positive
jual belinya tidak cepat tidak enak	negative
proses pembukaan akun proses selesai	neutral
simpel pemula trader	neutral
aplikasi eror data tidak busa diliha	negative
biaya penarikannya mahal kali mahal biaya transfer bank biaya topup saldo allah allah	positive
aplikasi penarikan dana malam gangguan uninstall	negative
aplikasinya bagus cepat layanannya oke prosesnya cepat mantap deh	positive
apknya bagus penjelasan fiturnya mudah dimengerti enak dipandang cocok pemula dunia perkriptoan	positive
aplikasi mudah user friendly transaction mudah rekomen deh	positive
kenapa aplikasi ajaib kripto eror pas aplikasi kripto foto ktp foto mengapa tidak masuk sepuluh kali foto tolong aplikasi ajaib kripto pengguna masak erro aplikasi takut invetasi uang eror aplikasi nya	negative
kecewa ajaib cripto uangku hilang setenga modal gara biaya transaksi jaringan mahal	negative
beli jualnya simpel	neutral
pemakaian bagus tolong tambahkan layanan penggunaan sidik jari membuka aplikasi ajaib kripto orang ajaib kripto tidak tolong tambahkan layanan nya manual	positive
parah aset hilang tidak jual wd akun terdaftar mendadak tidak terdaftar aset rupiah silakan download mengalami	negative
aplikasi tidak deposit	negative
bug	neutral
sinyal jelek chart nya dihilangkan	negative
