reviewId,userName,content,score,reviewCreatedVersion,at,appVersion,remove_special_characters,lowercased_words,cut_mult_char,replace_slang,translated_words,tokenized_words,stopword_removal,processed_sentence,polarity_scores,compound,sentiment
7446777e-48c0-4e20-affb-8a6482b54a6f,christopher immanuelie,"Kalu dibandingkan aplikasi crypto lain, aplikasi ini paling terburuk. Transaksi lama sekali loadingnya, nilai pajak yang paling tinggi dibanding aplikasi lain, dan juga tidak dapat dipantau melalui komputer. Sangat tidak direkomendasi memakai aplikasi ini",1,2.46.0,12/4/2024,2.46.0,Kalu dibandingkan aplikasi crypto lain aplikasi ini paling terburuk Transaksi lama sekali loadingnya nilai pajak yang paling tinggi dibanding aplikasi lain dan juga tidak dapat dipantau melalui komputer Sangat tidak direkomendasi memakai aplikasi ini,kalu dibandingkan aplikasi crypto lain aplikasi ini paling terburuk transaksi lama sekali loadingnya nilai pajak yang paling tinggi dibanding aplikasi lain dan juga tidak dapat dipantau melalui komputer sangat tidak direkomendasi memakai aplikasi ini,kalu dibandingkan aplikasi crypto lain aplikasi ini paling terburuk transaksi lama sekali loadingnya nilai pajak yang paling tinggi dibanding aplikasi lain dan juga tidak dapat dipantau melalui komputer sangat tidak direkomendasi memakai aplikasi ini,kalau dibandingkan aplikasi crypto lain aplikasi ini paling terburuk transaksi lama sekali loadingnya nilai pajak yang paling tinggi dibanding aplikasi lain dan juga tidak dapat dipantau melalui komputer sangat tidak direkomendasi memakai aplikasi ini,"When compared to other crypto applications, this application is the worst, transactions take a long time to load, the tax value is the highest compared to other applications and it also cannot be monitored via a computer. It is not recommended to use this application.","['When', 'compared', 'to', 'other', 'crypto', 'applications', ',', 'this', 'application', 'is', 'the', 'worst', ',', 'transactions', 'take', 'a', 'long', 'time', 'to', 'load', ',', 'the', 'tax', 'value', 'is', 'the', 'highest', 'compared', 'to', 'other', 'applications', 'and', 'it', 'also', 'can', 'not', 'be', 'monitored', 'via', 'a', 'computer', '.', 'It', 'is', 'not', 'recommended', 'to', 'use', 'this', 'application', '.']","['When', 'compared', 'crypto', 'applications', ',', 'application', 'worst', ',', 'transactions', 'take', 'long', 'time', 'load', ',', 'tax', 'value', 'highest', 'compared', 'applications', 'also', 'monitored', 'via', 'computer', '.', 'It', 'recommended', 'use', 'application', '.']","When compared crypto applications , application worst , transactions take long time load , tax value highest compared applications also monitored via computer . It recommended use application .","{'neg': 0.14, 'neu': 0.717, 'pos': 0.143, 'compound': -0.2263}",-0.2263,Negative
39aa3eb3-bcfc-441c-a7ba-09e60d6e062a,Erike Pratama,"Aplikasi sudah di manipulasi agar loss, sekali nya mau jual saat profit sedikit malah gak bisa, harus nunggu sampe loss baru bisa di jual, di pastikan loss.. yg profit yang punya apliksi kayaknya, curang",1,2.44.0,3/16/2024,2.44.0,Aplikasi sudah di manipulasi agar loss sekali nya mau jual saat profit sedikit malah gak bisa harus nunggu sampe loss baru bisa di jual di pastikan loss yg profit yang punya apliksi kayaknya curang,aplikasi sudah di manipulasi agar loss sekali nya mau jual saat profit sedikit malah gak bisa harus nunggu sampe loss baru bisa di jual di pastikan loss yg profit yang punya apliksi kayaknya curang,aplikasi sudah di manipulasi agar loss sekali nya mau jual saat profit sedikit malah gak bisa harus nunggu sampe loss baru bisa di jual di pastikan loss yg profit yang punya apliksi kayaknya curang,aplikasi sudah di manipulasi agar loss sekali nya mau jual saat profit sedikit malah enggak bisa harus menunggu sampai loss baru bisa di jual di pastikan loss yang profit yang punya apliksi kayaknya curang,"The application has been manipulated so that if you lose once you want to sell it when you have a small profit, you can't even have to wait until you lose before you can sell it. Make sure the loss is profitable. Those who have the application seem to be cheating.","['The', 'application', 'has', 'been', 'manipulated', 'so', 'that', 'if', 'you', 'lose', 'once', 'you', 'want', 'to', 'sell', 'it', 'when', 'you', 'have', 'a', 'small', 'profit', ',', 'you', 'ca', ""n't"", 'even', 'have', 'to', 'wait', 'until', 'you', 'lose', 'before', 'you', 'can', 'sell', 'it', '.', 'Make', 'sure', 'the', 'loss', 'is', 'profitable', '.', 'Those', 'who', 'have', 'the', 'application', 'seem', 'to', 'be', 'cheating', '.']","['The', 'application', 'manipulated', 'lose', 'want', 'sell', 'small', 'profit', ',', 'ca', ""n't"", 'even', 'wait', 'lose', 'sell', '.', 'Make', 'sure', 'loss', 'profitable', '.', 'Those', 'application', 'seem', 'cheating', '.']","The application manipulated lose want sell small profit , ca n't even wait lose sell . Make sure loss profitable . Those application seem cheating .","{'neg': 0.383, 'neu': 0.358, 'pos': 0.259, 'compound': -0.6705}",-0.6705,Negative
c19f599d-ce4f-4145-bb59-8dfd580ac742,Pramodana M. W.,"Pembelian harus ada batas minimal, kirim wallet ada minimalnya juga, narik deposit sebelah juga lama, harga miring jauh dari app lain, bug, tf wallet juga agak lama",1,2.46.0,4/18/2024,2.46.0,Pembelian harus ada batas minimal kirim wallet ada minimalnya juga narik deposit sebelah juga lama harga miring jauh dari app lain bug tf wallet juga agak lama,pembelian harus ada batas minimal kirim wallet ada minimalnya juga narik deposit sebelah juga lama harga miring jauh dari app lain bug tf wallet juga agak lama,pembelian harus ada batas minimal kirim wallet ada minimalnya juga narik deposit sebelah juga lama harga miring jauh dari app lain bug tf wallet juga agak lama,pembelian harus ada batas minimal kirim wallet ada minimalnya juga menarik deposit sebelah juga lama harga miring jauh dari app lain bug tf wallet juga agak lama,There must be a minimum limit for purchases when sending a wallet. There is also a minimum for withdrawing the next deposit. It also takes a long time for the price to be lower than other apps. The TF wallet bug also takes a while,"['There', 'must', 'be', 'a', 'minimum', 'limit', 'for', 'purchases', 'when', 'sending', 'a', 'wallet', '.', 'There', 'is', 'also', 'a', 'minimum', 'for', 'withdrawing', 'the', 'next', 'deposit', '.', 'It', 'also', 'takes', 'a', 'long', 'time', 'for', 'the', 'price', 'to', 'be', 'lower', 'than', 'other', 'apps', '.', 'The', 'TF', 'wallet', 'bug', 'also', 'takes', 'a', 'while']","['There', 'must', 'minimum', 'limit', 'purchases', 'sending', 'wallet', '.', 'There', 'also', 'minimum', 'withdrawing', 'next', 'deposit', '.', 'It', 'also', 'takes', 'long', 'time', 'price', 'lower', 'apps', '.', 'The', 'TF', 'wallet', 'bug', 'also', 'takes']",There must minimum limit purchases sending wallet . There also minimum withdrawing next deposit . It also takes long time price lower apps . The TF wallet bug also takes,"{'neg': 0.078, 'neu': 0.922, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative
cf2933c2-39d5-440b-befd-c7a3af62b83d,Wayan Yulianto,Untuk exchange kripto lokal. Ini yg paling bad respon. Deposit coin dari wallet lain belum masuk dan untuk pengaduan nggak tau kemana. Customer service ngga berguna tidak bisa dihubungi. Sudah lewat email namun tidak ada respon.,1,2.44.0,4/18/2024,2.44.0,Untuk exchange kripto lokal Ini yg paling bad respon Deposit coin dari wallet lain belum masuk dan untuk pengaduan nggak tau kemana Customer service ngga berguna tidak bisa dihubungi Sudah lewat email namun tidak ada respon,untuk exchange kripto lokal ini yg paling bad respon deposit coin dari wallet lain belum masuk dan untuk pengaduan nggak tau kemana customer service ngga berguna tidak bisa dihubungi sudah lewat email namun tidak ada respon,untuk exchange kripto lokal ini yg paling bad respon deposit coin dari wallet lain belum masuk dan untuk pengaduan nggak tau kemana customer service ngga berguna tidak bisa dihubungi sudah lewat email namun tidak ada respon,untuk exchange kripto lokal ini yang paling bad respon deposit coin dari wallet lain belum masuk dan untuk pengaduan enggak tau kemana customer service enggak berguna tidak bisa dihubungi sudah lewat email namun tidak ada respon,"For this local crypto exchange, the worst response is that coin deposits from other wallets haven't arrived and for complaints, don't know where to go, customer service is useless, can't be contacted via email, but no response.","['For', 'this', 'local', 'crypto', 'exchange', ',', 'the', 'worst', 'response', 'is', 'that', 'coin', 'deposits', 'from', 'other', 'wallets', 'have', ""n't"", 'arrived', 'and', 'for', 'complaints', ',', 'do', ""n't"", 'know', 'where', 'to', 'go', ',', 'customer', 'service', 'is', 'useless', ',', 'ca', ""n't"", 'be', 'contacted', 'via', 'email', ',', 'but', 'no', 'response', '.']","['For', 'local', 'crypto', 'exchange', ',', 'worst', 'response', 'coin', 'deposits', 'wallets', ""n't"", 'arrived', 'complaints', ',', ""n't"", 'know', 'go', ',', 'customer', 'service', 'useless', ',', 'ca', ""n't"", 'contacted', 'via', 'email', ',', 'response', '.']","For local crypto exchange , worst response coin deposits wallets n't arrived complaints , n't know go , customer service useless , ca n't contacted via email , response .","{'neg': 0.229, 'neu': 0.696, 'pos': 0.075, 'compound': -0.685}",-0.685,Negative
3e855316-9dd7-4f6f-ad8e-268e729211e2,Dadan Wardani,"Payah banget nih aplikasi, bisa Nerima kripto dari wallet lain tapi gak bisa ngirim, gak kumplit ada yang ada alamat address nya ada juga yg gak ada ditambah biaya transaksi nya yang mahal banget, banyak bug juga, nyesel banget gua pake nih aplikasi",1,2.43.0,4/3/2024,2.43.0,Payah banget nih aplikasi bisa Nerima kripto dari wallet lain tapi gak bisa ngirim gak kumplit ada yang ada alamat address nya ada juga yg gak ada ditambah biaya transaksi nya yang mahal banget banyak bug juga nyesel banget gua pake nih aplikasi,payah banget nih aplikasi bisa nerima kripto dari wallet lain tapi gak bisa ngirim gak kumplit ada yang ada alamat address nya ada juga yg gak ada ditambah biaya transaksi nya yang mahal banget banyak bug juga nyesel banget gua pake nih aplikasi,payah banget nih aplikasi bisa nerima kripto dari wallet lain tapi gak bisa ngirim gak kumplit ada yang ada alamat address nya ada juga yg gak ada ditambah biaya transaksi nya yang mahal banget banyak bug juga nyesel banget gua pake nih aplikasi,payah banget nih aplikasi bisa menerima kripto dari wallet lain tapi enggak bisa mengirim enggak kumplit ada yang ada alamat address nya ada juga yang enggak ada ditambah biaya transaksi nya yang mahal banget banyak bug juga menyesal banget gua pakai nih aplikasi,"It's really bad that the application can receive crypto from other wallets but can't send it, it's not complete, some have addresses, some don't, plus the transaction fees are very expensive, there are lots of bugs, I'm really sorry I used this application.","['It', ""'s"", 'really', 'bad', 'that', 'the', 'application', 'can', 'receive', 'crypto', 'from', 'other', 'wallets', 'but', 'ca', ""n't"", 'send', 'it', ',', 'it', ""'s"", 'not', 'complete', ',', 'some', 'have', 'addresses', ',', 'some', 'do', ""n't"", ',', 'plus', 'the', 'transaction', 'fees', 'are', 'very', 'expensive', ',', 'there', 'are', 'lots', 'of', 'bugs', ',', 'I', ""'m"", 'really', 'sorry', 'I', 'used', 'this', 'application', '.']","['It', ""'s"", 'really', 'bad', 'application', 'receive', 'crypto', 'wallets', 'ca', ""n't"", 'send', ',', ""'s"", 'complete', ',', 'addresses', ',', ""n't"", ',', 'plus', 'transaction', 'fees', 'expensive', ',', 'lots', 'bugs', ',', 'I', ""'m"", 'really', 'sorry', 'I', 'used', 'application', '.']","It 's really bad application receive crypto wallets ca n't send , 's complete , addresses , n't , plus transaction fees expensive , lots bugs , I 'm really sorry I used application .","{'neg': 0.183, 'neu': 0.817, 'pos': 0.0, 'compound': -0.6582}",-0.6582,Negative
ce2429ad-2ba0-497d-92ca-bb4d7c3366be,Ahmad Mustafid,"Exchange paling buruk di Indonesia, harga tidak sesuai realtime dengan exchange lain, ada selisih 300-1000 rupiah lebih mahal dengan exchange lain. Lebih baik pindah ke pluang, indodax, dll yang lebih murah",1,2.43.5,10/3/2024,2.43.5,Exchange paling buruk di Indonesia harga tidak sesuai realtime dengan exchange lain ada selisih 3001000 rupiah lebih mahal dengan exchange lain Lebih baik pindah ke pluang indodax dll yang lebih murah,exchange paling buruk di indonesia harga tidak sesuai realtime dengan exchange lain ada selisih 3001000 rupiah lebih mahal dengan exchange lain lebih baik pindah ke pluang indodax dll yang lebih murah,exchange paling buruk di indonesia harga tidak sesuai realtime dengan exchange lain ada selisih 30010 rupiah lebih mahal dengan exchange lain lebih baik pindah ke pluang indodax dll yang lebih murah,exchange paling buruk di indonesia harga tidak sesuai realtime dengan exchange lain ada selisih 30010 rupiah lebih mahal dengan exchange lain lebih baik pindah ke pluang indodax dll yang lebih murah,"the worst exchange in Indonesia, the price does not match real time with other exchanges, there is a difference of 30010 rupiah, it is more expensive with other exchanges, it is better to move to pluang indodax etc which is cheaper","['the', 'worst', 'exchange', 'in', 'Indonesia', ',', 'the', 'price', 'does', 'not', 'match', 'real', 'time', 'with', 'other', 'exchanges', ',', 'there', 'is', 'a', 'difference', 'of', '30010', 'rupiah', ',', 'it', 'is', 'more', 'expensive', 'with', 'other', 'exchanges', ',', 'it', 'is', 'better', 'to', 'move', 'to', 'pluang', 'indodax', 'etc', 'which', 'is', 'cheaper']","['worst', 'exchange', 'Indonesia', ',', 'price', 'match', 'real', 'time', 'exchanges', ',', 'difference', '30010', 'rupiah', ',', 'expensive', 'exchanges', ',', 'better', 'move', 'pluang', 'indodax', 'etc', 'cheaper']","worst exchange Indonesia , price match real time exchanges , difference 30010 rupiah , expensive exchanges , better move pluang indodax etc cheaper","{'neg': 0.171, 'neu': 0.708, 'pos': 0.121, 'compound': -0.296}",-0.296,Negative
ab88397f-21ff-4afe-a482-80216da9b68d,Yuze Chanel,"Gak terlalu rekomendasi pakai aplikasi ini setiap listing koin baru pasti ada manipulasi harga sampai 50% lebih mahal dari harga normal, intinya sebelum beli koin di sini coba bandingkan dulu harga nya sama tempat sebelah jangan kemakan fomo.",1,2.43.0,1/3/2024,2.43.0,Gak terlalu rekomendasi pakai aplikasi ini setiap listing koin baru pasti ada manipulasi harga sampai 50 lebih mahal dari harga normal intinya sebelum beli koin di sini coba bandingkan dulu harga nya sama tempat sebelah jangan kemakan fomo,gak terlalu rekomendasi pakai aplikasi ini setiap listing koin baru pasti ada manipulasi harga sampai 50 lebih mahal dari harga normal intinya sebelum beli koin di sini coba bandingkan dulu harga nya sama tempat sebelah jangan kemakan fomo,gak terlalu rekomendasi pakai aplikasi ini setiap listing koin baru pasti ada manipulasi harga sampai 50 lebih mahal dari harga normal intinya sebelum beli koin di sini coba bandingkan dulu harga nya sama tempat sebelah jangan kemakan fomo,enggak terlalu rekomendasi pakai aplikasi ini setiap listing koin baru pasti ada manipulasi harga sampai 50 lebih mahal dari harga normal intinya sebelum beli koin di sini coba bandingkan dulu harga nya sama tempat sebelah jangan termakan fomo,"I don't really recommend using this application. Every time a new coin is listed, there will be price manipulation up to 50 more than the normal price. Basically, before buying coins here, try comparing the price with the place next door, don't fall for fomo.","['I', 'do', ""n't"", 'really', 'recommend', 'using', 'this', 'application', '.', 'Every', 'time', 'a', 'new', 'coin', 'is', 'listed', ',', 'there', 'will', 'be', 'price', 'manipulation', 'up', 'to', '50', 'more', 'than', 'the', 'normal', 'price', '.', 'Basically', ',', 'before', 'buying', 'coins', 'here', ',', 'try', 'comparing', 'the', 'price', 'with', 'the', 'place', 'next', 'door', ',', 'do', ""n't"", 'fall', 'for', 'fomo', '.']","['I', ""n't"", 'really', 'recommend', 'using', 'application', '.', 'Every', 'time', 'new', 'coin', 'listed', ',', 'price', 'manipulation', '50', 'normal', 'price', '.', 'Basically', ',', 'buying', 'coins', ',', 'try', 'comparing', 'price', 'place', 'next', 'door', ',', ""n't"", 'fall', 'fomo', '.']","I n't really recommend using application . Every time new coin listed , price manipulation 50 normal price . Basically , buying coins , try comparing price place next door , n't fall fomo .","{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.5464}",-0.5464,Negative
dca52cb6-74b8-4a2f-9d36-4b7c445d019c,Dani Plastrana,"Benerin noh apk banyak maintenance nya harga sering nyangkut"" otomatis di kasih harga palsu. Apakah ini apk judi yang bisa di permainkan oleh bandar? Ini kan aplikasi investasi jadi tolong lah benerin maintenance"" nya biar gak ada yang ke gocek permainan",1,2.43.5,8/3/2024,2.43.5,Benerin noh apk banyak maintenance nya harga sering nyangkut otomatis di kasih harga palsu Apakah ini apk judi yang bisa di permainkan oleh bandar Ini kan aplikasi investasi jadi tolong lah benerin maintenance nya biar gak ada yang ke gocek permainan,benerin noh apk banyak maintenance nya harga sering nyangkut otomatis di kasih harga palsu apakah ini apk judi yang bisa di permainkan oleh bandar ini kan aplikasi investasi jadi tolong lah benerin maintenance nya biar gak ada yang ke gocek permainan,benerin noh apk banyak maintenance nya harga sering nyangkut otomatis di kasih harga palsu apakah ini apk judi yang bisa di permainkan oleh bandar ini kan aplikasi investasi jadi tolong lah benerin maintenance nya biar gak ada yang ke gocek permainan,benerin noh apk banyak maintenance nya harga sering nyangkut otomatis di kasih harga palsu apakah ini apk judi yang bisa di permainkan oleh bandar ini kan aplikasi investasi jadi tolong lah benerin maintenance nya biar enggak ada yang ke gocek permainan,"correct this apk, there is a lot of maintenance, the price is often stuck, automatically you are given a fake price, is this a gambling apk that can be played by bookies? This is an investment application, so please fix the maintenance so no one goes to the game.","['correct', 'this', 'apk', ',', 'there', 'is', 'a', 'lot', 'of', 'maintenance', ',', 'the', 'price', 'is', 'often', 'stuck', ',', 'automatically', 'you', 'are', 'given', 'a', 'fake', 'price', ',', 'is', 'this', 'a', 'gambling', 'apk', 'that', 'can', 'be', 'played', 'by', 'bookies', '?', 'This', 'is', 'an', 'investment', 'application', ',', 'so', 'please', 'fix', 'the', 'maintenance', 'so', 'no', 'one', 'goes', 'to', 'the', 'game', '.']","['correct', 'apk', ',', 'lot', 'maintenance', ',', 'price', 'often', 'stuck', ',', 'automatically', 'given', 'fake', 'price', ',', 'gambling', 'apk', 'played', 'bookies', '?', 'This', 'investment', 'application', ',', 'please', 'fix', 'maintenance', 'one', 'goes', 'game', '.']","correct apk , lot maintenance , price often stuck , automatically given fake price , gambling apk played bookies ? This investment application , please fix maintenance one goes game .","{'neg': 0.171, 'neu': 0.671, 'pos': 0.158, 'compound': -0.1027}",-0.1027,Negative
c2f55adb-7a90-4630-b3d9-fa2244056f90,Deni Setiawan,Dalam pembelian atau penjualan tidak sesuai potongan nya .meski sudah d potong pajak tapi setiap kali penjualan suka hilang 20k ke mana padahal pajak udah ke potong.dalam pembelian harga udah sama belum ke beli ke beli bbrapa menit malah harga nya naik malah kga jadi beli.,1,2.45.1,3/31/2024,2.45.1,Dalam pembelian atau penjualan tidak sesuai potongan nya meski sudah d potong pajak tapi setiap kali penjualan suka hilang 20k ke mana padahal pajak udah ke potongdalam pembelian harga udah sama belum ke beli ke beli bbrapa menit malah harga nya naik malah kga jadi beli,dalam pembelian atau penjualan tidak sesuai potongan nya meski sudah d potong pajak tapi setiap kali penjualan suka hilang 20k ke mana padahal pajak udah ke potongdalam pembelian harga udah sama belum ke beli ke beli bbrapa menit malah harga nya naik malah kga jadi beli,dalam pembelian atau penjualan tidak sesuai potongan nya meski sudah d potong pajak tapi setiap kali penjualan suka hilang 20k ke mana padahal pajak udah ke potongdalam pembelian harga udah sama belum ke beli ke beli bbrapa menit malah harga nya naik malah kga jadi beli,dalam pembelian atau penjualan tidak sesuai potongan nya meski sudah di potong pajak tapi setiap kali penjualan suka hilang 20k ke mana padahal pajak sudah ke potongdalam pembelian harga sudah sama belum ke beli ke beli bbrapa menit malah harga nya naik malah kga jadi beli,"When buying or selling, the deductions don't match even though the tax has been deducted, but every time you sell, you lose 20k, even though the tax has been deducted, when you buy, the price is the same, before you buy, after a few minutes, the price goes up, but you don't buy it.","['When', 'buying', 'or', 'selling', ',', 'the', 'deductions', 'do', ""n't"", 'match', 'even', 'though', 'the', 'tax', 'has', 'been', 'deducted', ',', 'but', 'every', 'time', 'you', 'sell', ',', 'you', 'lose', '20k', ',', 'even', 'though', 'the', 'tax', 'has', 'been', 'deducted', ',', 'when', 'you', 'buy', ',', 'the', 'price', 'is', 'the', 'same', ',', 'before', 'you', 'buy', ',', 'after', 'a', 'few', 'minutes', ',', 'the', 'price', 'goes', 'up', ',', 'but', 'you', 'do', ""n't"", 'buy', 'it', '.']","['When', 'buying', 'selling', ',', 'deductions', ""n't"", 'match', 'even', 'though', 'tax', 'deducted', ',', 'every', 'time', 'sell', ',', 'lose', '20k', ',', 'even', 'though', 'tax', 'deducted', ',', 'buy', ',', 'price', ',', 'buy', ',', 'minutes', ',', 'price', 'goes', ',', ""n't"", 'buy', '.']","When buying selling , deductions n't match even though tax deducted , every time sell , lose 20k , even though tax deducted , buy , price , buy , minutes , price goes , n't buy .","{'neg': 0.094, 'neu': 0.906, 'pos': 0.0, 'compound': -0.4019}",-0.4019,Negative
d0917a43-056a-4055-a4c0-cf1a31207abe,mikel lanang,Saya menikmati fitur yang ada pada ajaib crypto namun saya sangat kecewa karna tanpa alasan yang jelas orderan beli saya selalu di rejeck yang membuat saya tidak bisa melakukan orderan beli coin saya harap ada tindak lanjut dari pihak AJAIB mengenai hal ini agak yang lain tidak merasa kecewa. Dan 1 yang membuat aplikasi ajaib sangat jelek yaitu aplikasi ini tidak menyediakan live chat untuk melayani keluhan para pengguna yang ingin menannyakan masalah pada aplikasi secara langsung,1,2.43.5,7/3/2024,2.43.5,Saya menikmati fitur yang ada pada ajaib crypto namun saya sangat kecewa karna tanpa alasan yang jelas orderan beli saya selalu di rejeck yang membuat saya tidak bisa melakukan orderan beli coin saya harap ada tindak lanjut dari pihak AJAIB mengenai hal ini agak yang lain tidak merasa kecewa Dan 1 yang membuat aplikasi ajaib sangat jelek yaitu aplikasi ini tidak menyediakan live chat untuk melayani keluhan para pengguna yang ingin menannyakan masalah pada aplikasi secara langsung,saya menikmati fitur yang ada pada ajaib crypto namun saya sangat kecewa karna tanpa alasan yang jelas orderan beli saya selalu di rejeck yang membuat saya tidak bisa melakukan orderan beli coin saya harap ada tindak lanjut dari pihak ajaib mengenai hal ini agak yang lain tidak merasa kecewa dan 1 yang membuat aplikasi ajaib sangat jelek yaitu aplikasi ini tidak menyediakan live chat untuk melayani keluhan para pengguna yang ingin menannyakan masalah pada aplikasi secara langsung,saya menikmati fitur yang ada pada ajaib crypto namun saya sangat kecewa karna tanpa alasan yang jelas orderan beli saya selalu di rejeck yang membuat saya tidak bisa melakukan orderan beli coin saya harap ada tindak lanjut dari pihak ajaib mengenai hal ini agak yang lain tidak merasa kecewa dan 1 yang membuat aplikasi ajaib sangat jelek yaitu aplikasi ini tidak menyediakan live chat untuk melayani keluhan para pengguna yang ingin menannyakan masalah pada aplikasi secara langsung,saya menikmati fitur yang ada pada ajaib crypto namun saya sangat kecewa karena tanpa alasan yang jelas orderan beli saya selalu di rejeck yang membuat saya tidak bisa melakukan orderan beli coin saya harap ada tindak lanjut dari pihak ajaib mengenai hal ini agak yang lain tidak merasa kecewa dan 1 yang membuat aplikasi ajaib sangat jelek yaitu aplikasi ini tidak menyediakan live chat untuk melayani keluhan para pengguna yang ingin menannyakan masalah pada aplikasi secara langsung,"I enjoy the features of Magic Crypto, but I am very disappointed because for no apparent reason my buying orders are always rejected, which makes me unable to place orders to buy coins. I hope there will be follow-up from Magic regarding this. Others don't feel disappointed and 1 thing that makes the magic application very bad is that this application does not provide live chat to serve complaints from users who want to ask problems with the application directly","['I', 'enjoy', 'the', 'features', 'of', 'Magic', 'Crypto', ',', 'but', 'I', 'am', 'very', 'disappointed', 'because', 'for', 'no', 'apparent', 'reason', 'my', 'buying', 'orders', 'are', 'always', 'rejected', ',', 'which', 'makes', 'me', 'unable', 'to', 'place', 'orders', 'to', 'buy', 'coins', '.', 'I', 'hope', 'there', 'will', 'be', 'follow-up', 'from', 'Magic', 'regarding', 'this', '.', 'Others', 'do', ""n't"", 'feel', 'disappointed', 'and', '1', 'thing', 'that', 'makes', 'the', 'magic', 'application', 'very', 'bad', 'is', 'that', 'this', 'application', 'does', 'not', 'provide', 'live', 'chat', 'to', 'serve', 'complaints', 'from', 'users', 'who', 'want', 'to', 'ask', 'problems', 'with', 'the', 'application', 'directly']","['I', 'enjoy', 'features', 'Magic', 'Crypto', ',', 'I', 'disappointed', 'apparent', 'reason', 'buying', 'orders', 'always', 'rejected', ',', 'makes', 'unable', 'place', 'orders', 'buy', 'coins', '.', 'I', 'hope', 'follow-up', 'Magic', 'regarding', '.', 'Others', ""n't"", 'feel', 'disappointed', '1', 'thing', 'makes', 'magic', 'application', 'bad', 'application', 'provide', 'live', 'chat', 'serve', 'complaints', 'users', 'want', 'ask', 'problems', 'application', 'directly']","I enjoy features Magic Crypto , I disappointed apparent reason buying orders always rejected , makes unable place orders buy coins . I hope follow-up Magic regarding . Others n't feel disappointed 1 thing makes magic application bad application provide live chat serve complaints users want ask problems application directly","{'neg': 0.313, 'neu': 0.561, 'pos': 0.126, 'compound': -0.9001}",-0.9001,Negative
