reviewId,userName,content,score,reviewCreatedVersion,at,appVersion,remove_special_characters,lowercased_words,cut_mult_char,replace_slang,translated_words,tokenized_words,stopword_removal,processed_sentence
5f0eaaaa-4772-419c-b0b1-7e655e99e504,Evin Tangdilomba,"Transaksi nya cukup cepat si. Tapi tidak tersedia untuk laptop dan komputer PC jadi untuk lihat grafik nya susah. Login lewat website juga tidak bisa. Jadi saran saya tolong di biarkan aplikasi untuk laptop dan komputer PC nya supaya lebih mempermudah para traider untuk melihat grafik pergerakan harga. Saya koreksi lagi ratingnya saya turunin ke 1 . Soalnya kaspa koin tidak ada, aplikasi lelet slow respon, padahal jaringan bagus, terus keluhan sebelumnya tidak di perbaiki.",1,2.43.5,7/3/2024,2.43.5,Transaksi nya cukup cepat si Tapi tidak tersedia untuk laptop dan komputer PC jadi untuk lihat grafik nya susah Login lewat website juga tidak bisa Jadi saran saya tolong di biarkan aplikasi untuk laptop dan komputer PC nya supaya lebih mempermudah para traider untuk melihat grafik pergerakan harga Saya koreksi lagi ratingnya saya turunin ke 1  Soalnya kaspa koin tidak ada aplikasi lelet slow respon padahal jaringan bagus terus keluhan sebelumnya tidak di perbaiki,transaksi nya cukup cepat si tapi tidak tersedia untuk laptop dan komputer pc jadi untuk lihat grafik nya susah login lewat website juga tidak bisa jadi saran saya tolong di biarkan aplikasi untuk laptop dan komputer pc nya supaya lebih mempermudah para traider untuk melihat grafik pergerakan harga saya koreksi lagi ratingnya saya turunin ke 1  soalnya kaspa koin tidak ada aplikasi lelet slow respon padahal jaringan bagus terus keluhan sebelumnya tidak di perbaiki,transaksi nya cukup cepat si tapi tidak tersedia untuk laptop dan komputer pc jadi untuk lihat grafik nya susah login lewat website juga tidak bisa jadi saran saya tolong di biarkan aplikasi untuk laptop dan komputer pc nya supaya lebih mempermudah para traider untuk melihat grafik pergerakan harga saya koreksi lagi ratingnya saya turunin ke 1  soalnya kaspa koin tidak ada aplikasi lelet slow respon padahal jaringan bagus terus keluhan sebelumnya tidak di perbaiki,transaksi nya cukup cepat sih tapi tidak tersedia untuk laptop dan komputer pc jadi untuk lihat grafik nya susah login lewat website juga tidak bisa jadi saran saya tolong di biarkan aplikasi untuk laptop dan komputer pc nya supaya lebih mempermudah para traider untuk melihat grafik pergerakan harga saya koreksi lagi ratingnya saya turunin ke 1  soalnya kaspa koin tidak ada aplikasi lelet slow respon padahal jaringan bagus terus keluhan sebelumnya tidak di perbaiki,"the transactions are quite fast, but it is not available for laptops and PC computers, so to see the graphs it is difficult to log in via the website, so my suggestion is, please allow the application for laptops and PC computers to make it easier for traders to see price movement graphs, I corrected them. again I lowered the rating to 1 because Kaspa Coin doesn't have a slow application, slow response even though the network is good, the previous complaint wasn't fixed","['the', 'transactions', 'are', 'quite', 'fast', ',', 'but', 'it', 'is', 'not', 'available', 'for', 'laptops', 'and', 'PC', 'computers', ',', 'so', 'to', 'see', 'the', 'graphs', 'it', 'is', 'difficult', 'to', 'log', 'in', 'via', 'the', 'website', ',', 'so', 'my', 'suggestion', 'is', ',', 'please', 'allow', 'the', 'application', 'for', 'laptops', 'and', 'PC', 'computers', 'to', 'make', 'it', 'easier', 'for', 'traders', 'to', 'see', 'price', 'movement', 'graphs', ',', 'I', 'corrected', 'them', '.', 'again', 'I', 'lowered', 'the', 'rating', 'to', '1', 'because', 'Kaspa', 'Coin', 'does', ""n't"", 'have', 'a', 'slow', 'application', ',', 'slow', 'response', 'even', 'though', 'the', 'network', 'is', 'good', ',', 'the', 'previous', 'complaint', 'was', ""n't"", 'fixed']","['transactions', 'quite', 'fast', ',', 'available', 'laptops', 'PC', 'computers', ',', 'see', 'graphs', 'difficult', 'log', 'via', 'website', ',', 'suggestion', ',', 'please', 'allow', 'application', 'laptops', 'PC', 'computers', 'make', 'easier', 'traders', 'see', 'price', 'movement', 'graphs', ',', 'I', 'corrected', '.', 'I', 'lowered', 'rating', '1', 'Kaspa', 'Coin', ""n't"", 'slow', 'application', ',', 'slow', 'response', 'even', 'though', 'network', 'good', ',', 'previous', 'complaint', ""n't"", 'fixed']","transactions quite fast , available laptops PC computers , see graphs difficult log via website , suggestion , please allow application laptops PC computers make easier traders see price movement graphs , I corrected . I lowered rating 1 Kaspa Coin n't slow application , slow response even though network good , previous complaint n't fixed"
7446777e-48c0-4e20-affb-8a6482b54a6f,christopher immanuelie,"Kalu dibandingkan aplikasi crypto lain, aplikasi ini paling terburuk. Transaksi lama sekali loadingnya, nilai pajak yang paling tinggi dibanding aplikasi lain, dan juga tidak dapat dipantau melalui komputer. Sangat tidak direkomendasi memakai aplikasi ini",1,2.46.0,12/4/2024,2.46.0,Kalu dibandingkan aplikasi crypto lain aplikasi ini paling terburuk Transaksi lama sekali loadingnya nilai pajak yang paling tinggi dibanding aplikasi lain dan juga tidak dapat dipantau melalui komputer Sangat tidak direkomendasi memakai aplikasi ini,kalu dibandingkan aplikasi crypto lain aplikasi ini paling terburuk transaksi lama sekali loadingnya nilai pajak yang paling tinggi dibanding aplikasi lain dan juga tidak dapat dipantau melalui komputer sangat tidak direkomendasi memakai aplikasi ini,kalu dibandingkan aplikasi crypto lain aplikasi ini paling terburuk transaksi lama sekali loadingnya nilai pajak yang paling tinggi dibanding aplikasi lain dan juga tidak dapat dipantau melalui komputer sangat tidak direkomendasi memakai aplikasi ini,kalau dibandingkan aplikasi crypto lain aplikasi ini paling terburuk transaksi lama sekali loadingnya nilai pajak yang paling tinggi dibanding aplikasi lain dan juga tidak dapat dipantau melalui komputer sangat tidak direkomendasi memakai aplikasi ini,"When compared to other crypto applications, this application is the worst, transactions take a long time to load, the tax value is the highest compared to other applications and it also cannot be monitored via a computer. It is not recommended to use this application.","['When', 'compared', 'to', 'other', 'crypto', 'applications', ',', 'this', 'application', 'is', 'the', 'worst', ',', 'transactions', 'take', 'a', 'long', 'time', 'to', 'load', ',', 'the', 'tax', 'value', 'is', 'the', 'highest', 'compared', 'to', 'other', 'applications', 'and', 'it', 'also', 'can', 'not', 'be', 'monitored', 'via', 'a', 'computer', '.', 'It', 'is', 'not', 'recommended', 'to', 'use', 'this', 'application', '.']","['When', 'compared', 'crypto', 'applications', ',', 'application', 'worst', ',', 'transactions', 'take', 'long', 'time', 'load', ',', 'tax', 'value', 'highest', 'compared', 'applications', 'also', 'monitored', 'via', 'computer', '.', 'It', 'recommended', 'use', 'application', '.']","When compared crypto applications , application worst , transactions take long time load , tax value highest compared applications also monitored via computer . It recommended use application ."
39aa3eb3-bcfc-441c-a7ba-09e60d6e062a,Erike Pratama,"Aplikasi sudah di manipulasi agar loss, sekali nya mau jual saat profit sedikit malah gak bisa, harus nunggu sampe loss baru bisa di jual, di pastikan loss.. yg profit yang punya apliksi kayaknya, curang",1,2.44.0,3/16/2024,2.44.0,Aplikasi sudah di manipulasi agar loss sekali nya mau jual saat profit sedikit malah gak bisa harus nunggu sampe loss baru bisa di jual di pastikan loss yg profit yang punya apliksi kayaknya curang,aplikasi sudah di manipulasi agar loss sekali nya mau jual saat profit sedikit malah gak bisa harus nunggu sampe loss baru bisa di jual di pastikan loss yg profit yang punya apliksi kayaknya curang,aplikasi sudah di manipulasi agar loss sekali nya mau jual saat profit sedikit malah gak bisa harus nunggu sampe loss baru bisa di jual di pastikan loss yg profit yang punya apliksi kayaknya curang,aplikasi sudah di manipulasi agar loss sekali nya mau jual saat profit sedikit malah enggak bisa harus menunggu sampai loss baru bisa di jual di pastikan loss yang profit yang punya apliksi kayaknya curang,"The application has been manipulated so that if you lose once you want to sell it when you have a small profit, you can't even have to wait until you lose before you can sell it. Make sure the loss is profitable. Those who have the application seem to be cheating.","['The', 'application', 'has', 'been', 'manipulated', 'so', 'that', 'if', 'you', 'lose', 'once', 'you', 'want', 'to', 'sell', 'it', 'when', 'you', 'have', 'a', 'small', 'profit', ',', 'you', 'ca', ""n't"", 'even', 'have', 'to', 'wait', 'until', 'you', 'lose', 'before', 'you', 'can', 'sell', 'it', '.', 'Make', 'sure', 'the', 'loss', 'is', 'profitable', '.', 'Those', 'who', 'have', 'the', 'application', 'seem', 'to', 'be', 'cheating', '.']","['The', 'application', 'manipulated', 'lose', 'want', 'sell', 'small', 'profit', ',', 'ca', ""n't"", 'even', 'wait', 'lose', 'sell', '.', 'Make', 'sure', 'loss', 'profitable', '.', 'Those', 'application', 'seem', 'cheating', '.']","The application manipulated lose want sell small profit , ca n't even wait lose sell . Make sure loss profitable . Those application seem cheating ."
09a6a207-5431-4f27-b301-1e9a3fa3a94b,Andre Haryadi,"Jeleknya ini kalo ada pemeliharaan aset cryptonya beku buat perawatan jual beli tidak bisa di lakukan bangke emang saat market crypto aktif 24 jam bisa""nya perawatan aset cyrpto mana lama lagi jangka perawatannya",1,2.46.5,4/28/2024,2.46.5,Jeleknya ini kalo ada pemeliharaan aset cryptonya beku buat perawatan jual beli tidak bisa di lakukan bangke emang saat market crypto aktif 24 jam bisanya perawatan aset cyrpto mana lama lagi jangka perawatannya,jeleknya ini kalo ada pemeliharaan aset cryptonya beku buat perawatan jual beli tidak bisa di lakukan bangke emang saat market crypto aktif 24 jam bisanya perawatan aset cyrpto mana lama lagi jangka perawatannya,jeleknya ini kalo ada pemeliharaan aset cryptonya beku buat perawatan jual beli tidak bisa di lakukan bangke emang saat market crypto aktif 24 jam bisanya perawatan aset cyrpto mana lama lagi jangka perawatannya,jeleknya ini kalo ada pemeliharaan aset cryptonya beku buat perawatan jual beli tidak bisa di lakukan bangkai memang saat market crypto aktif 24 jam bisanya perawatan aset cyrpto mana lama lagi jangka perawatannya,"The bad thing about this is that if there is maintenance of crypto assets, they are frozen, buying and selling maintenance cannot be carried out. Indeed, when the crypto market is active 24 hours, usually the maintenance period for crypto assets is longer.","['The', 'bad', 'thing', 'about', 'this', 'is', 'that', 'if', 'there', 'is', 'maintenance', 'of', 'crypto', 'assets', ',', 'they', 'are', 'frozen', ',', 'buying', 'and', 'selling', 'maintenance', 'can', 'not', 'be', 'carried', 'out', '.', 'Indeed', ',', 'when', 'the', 'crypto', 'market', 'is', 'active', '24', 'hours', ',', 'usually', 'the', 'maintenance', 'period', 'for', 'crypto', 'assets', 'is', 'longer', '.']","['The', 'bad', 'thing', 'maintenance', 'crypto', 'assets', ',', 'frozen', ',', 'buying', 'selling', 'maintenance', 'carried', '.', 'Indeed', ',', 'crypto', 'market', 'active', '24', 'hours', ',', 'usually', 'maintenance', 'period', 'crypto', 'assets', 'longer', '.']","The bad thing maintenance crypto assets , frozen , buying selling maintenance carried . Indeed , crypto market active 24 hours , usually maintenance period crypto assets longer ."
c19f599d-ce4f-4145-bb59-8dfd580ac742,Pramodana M. W.,"Pembelian harus ada batas minimal, kirim wallet ada minimalnya juga, narik deposit sebelah juga lama, harga miring jauh dari app lain, bug, tf wallet juga agak lama",1,2.46.0,4/18/2024,2.46.0,Pembelian harus ada batas minimal kirim wallet ada minimalnya juga narik deposit sebelah juga lama harga miring jauh dari app lain bug tf wallet juga agak lama,pembelian harus ada batas minimal kirim wallet ada minimalnya juga narik deposit sebelah juga lama harga miring jauh dari app lain bug tf wallet juga agak lama,pembelian harus ada batas minimal kirim wallet ada minimalnya juga narik deposit sebelah juga lama harga miring jauh dari app lain bug tf wallet juga agak lama,pembelian harus ada batas minimal kirim wallet ada minimalnya juga menarik deposit sebelah juga lama harga miring jauh dari app lain bug tf wallet juga agak lama,There must be a minimum limit for purchases when sending a wallet. There is also a minimum for withdrawing the next deposit. It also takes a long time for the price to be lower than other apps. The TF wallet bug also takes a while,"['There', 'must', 'be', 'a', 'minimum', 'limit', 'for', 'purchases', 'when', 'sending', 'a', 'wallet', '.', 'There', 'is', 'also', 'a', 'minimum', 'for', 'withdrawing', 'the', 'next', 'deposit', '.', 'It', 'also', 'takes', 'a', 'long', 'time', 'for', 'the', 'price', 'to', 'be', 'lower', 'than', 'other', 'apps', '.', 'The', 'TF', 'wallet', 'bug', 'also', 'takes', 'a', 'while']","['There', 'must', 'minimum', 'limit', 'purchases', 'sending', 'wallet', '.', 'There', 'also', 'minimum', 'withdrawing', 'next', 'deposit', '.', 'It', 'also', 'takes', 'long', 'time', 'price', 'lower', 'apps', '.', 'The', 'TF', 'wallet', 'bug', 'also', 'takes']",There must minimum limit purchases sending wallet . There also minimum withdrawing next deposit . It also takes long time price lower apps . The TF wallet bug also takes
cf2933c2-39d5-440b-befd-c7a3af62b83d,Wayan Yulianto,Untuk exchange kripto lokal. Ini yg paling bad respon. Deposit coin dari wallet lain belum masuk dan untuk pengaduan nggak tau kemana. Customer service ngga berguna tidak bisa dihubungi. Sudah lewat email namun tidak ada respon.,1,2.44.0,4/18/2024,2.44.0,Untuk exchange kripto lokal Ini yg paling bad respon Deposit coin dari wallet lain belum masuk dan untuk pengaduan nggak tau kemana Customer service ngga berguna tidak bisa dihubungi Sudah lewat email namun tidak ada respon,untuk exchange kripto lokal ini yg paling bad respon deposit coin dari wallet lain belum masuk dan untuk pengaduan nggak tau kemana customer service ngga berguna tidak bisa dihubungi sudah lewat email namun tidak ada respon,untuk exchange kripto lokal ini yg paling bad respon deposit coin dari wallet lain belum masuk dan untuk pengaduan nggak tau kemana customer service ngga berguna tidak bisa dihubungi sudah lewat email namun tidak ada respon,untuk exchange kripto lokal ini yang paling bad respon deposit coin dari wallet lain belum masuk dan untuk pengaduan enggak tau kemana customer service enggak berguna tidak bisa dihubungi sudah lewat email namun tidak ada respon,"For this local crypto exchange, the worst response is that coin deposits from other wallets haven't arrived and for complaints, don't know where to go, customer service is useless, can't be contacted via email, but no response.","['For', 'this', 'local', 'crypto', 'exchange', ',', 'the', 'worst', 'response', 'is', 'that', 'coin', 'deposits', 'from', 'other', 'wallets', 'have', ""n't"", 'arrived', 'and', 'for', 'complaints', ',', 'do', ""n't"", 'know', 'where', 'to', 'go', ',', 'customer', 'service', 'is', 'useless', ',', 'ca', ""n't"", 'be', 'contacted', 'via', 'email', ',', 'but', 'no', 'response', '.']","['For', 'local', 'crypto', 'exchange', ',', 'worst', 'response', 'coin', 'deposits', 'wallets', ""n't"", 'arrived', 'complaints', ',', ""n't"", 'know', 'go', ',', 'customer', 'service', 'useless', ',', 'ca', ""n't"", 'contacted', 'via', 'email', ',', 'response', '.']","For local crypto exchange , worst response coin deposits wallets n't arrived complaints , n't know go , customer service useless , ca n't contacted via email , response ."
5e88d181-8b76-4141-86b3-426394d6c35d,Ade Sal Buang,"Sejauh ini masih masih baik dan user frendly. Kalau boleh, tambahkan juga fitur web based. Supaya kami yg terbiasa trading dengan laptop, bisa terakomodir",1,2.46.0,11/4/2024,2.46.0,Sejauh ini masih masih baik dan user frendly Kalau boleh tambahkan juga fitur web based Supaya kami yg terbiasa trading dengan laptop bisa terakomodir,sejauh ini masih masih baik dan user frendly kalau boleh tambahkan juga fitur web based supaya kami yg terbiasa trading dengan laptop bisa terakomodir,sejauh ini masih masih baik dan user frendly kalau boleh tambahkan juga fitur web based supaya kami yg terbiasa trading dengan laptop bisa terakomodir,sejauh ini masih masih baik dan user frendly kalau boleh tambahkan juga fitur web based supaya kami yang terbiasa trading dengan laptop bisa terakomodir,So far it's still good and user friendly. If I may add web based features so that those of us who are used to trading with laptops can be accommodated.,"['So', 'far', 'it', ""'s"", 'still', 'good', 'and', 'user', 'friendly', '.', 'If', 'I', 'may', 'add', 'web', 'based', 'features', 'so', 'that', 'those', 'of', 'us', 'who', 'are', 'used', 'to', 'trading', 'with', 'laptops', 'can', 'be', 'accommodated', '.']","['So', 'far', ""'s"", 'still', 'good', 'user', 'friendly', '.', 'If', 'I', 'may', 'add', 'web', 'based', 'features', 'us', 'used', 'trading', 'laptops', 'accommodated', '.']",So far 's still good user friendly . If I may add web based features us used trading laptops accommodated .
3e855316-9dd7-4f6f-ad8e-268e729211e2,Dadan Wardani,"Payah banget nih aplikasi, bisa Nerima kripto dari wallet lain tapi gak bisa ngirim, gak kumplit ada yang ada alamat address nya ada juga yg gak ada ditambah biaya transaksi nya yang mahal banget, banyak bug juga, nyesel banget gua pake nih aplikasi",1,2.43.0,4/3/2024,2.43.0,Payah banget nih aplikasi bisa Nerima kripto dari wallet lain tapi gak bisa ngirim gak kumplit ada yang ada alamat address nya ada juga yg gak ada ditambah biaya transaksi nya yang mahal banget banyak bug juga nyesel banget gua pake nih aplikasi,payah banget nih aplikasi bisa nerima kripto dari wallet lain tapi gak bisa ngirim gak kumplit ada yang ada alamat address nya ada juga yg gak ada ditambah biaya transaksi nya yang mahal banget banyak bug juga nyesel banget gua pake nih aplikasi,payah banget nih aplikasi bisa nerima kripto dari wallet lain tapi gak bisa ngirim gak kumplit ada yang ada alamat address nya ada juga yg gak ada ditambah biaya transaksi nya yang mahal banget banyak bug juga nyesel banget gua pake nih aplikasi,payah banget nih aplikasi bisa menerima kripto dari wallet lain tapi enggak bisa mengirim enggak kumplit ada yang ada alamat address nya ada juga yang enggak ada ditambah biaya transaksi nya yang mahal banget banyak bug juga menyesal banget gua pakai nih aplikasi,"It's really bad that the application can receive crypto from other wallets but can't send it, it's not complete, some have addresses, some don't, plus the transaction fees are very expensive, there are lots of bugs, I'm really sorry I used this application.","['It', ""'s"", 'really', 'bad', 'that', 'the', 'application', 'can', 'receive', 'crypto', 'from', 'other', 'wallets', 'but', 'ca', ""n't"", 'send', 'it', ',', 'it', ""'s"", 'not', 'complete', ',', 'some', 'have', 'addresses', ',', 'some', 'do', ""n't"", ',', 'plus', 'the', 'transaction', 'fees', 'are', 'very', 'expensive', ',', 'there', 'are', 'lots', 'of', 'bugs', ',', 'I', ""'m"", 'really', 'sorry', 'I', 'used', 'this', 'application', '.']","['It', ""'s"", 'really', 'bad', 'application', 'receive', 'crypto', 'wallets', 'ca', ""n't"", 'send', ',', ""'s"", 'complete', ',', 'addresses', ',', ""n't"", ',', 'plus', 'transaction', 'fees', 'expensive', ',', 'lots', 'bugs', ',', 'I', ""'m"", 'really', 'sorry', 'I', 'used', 'application', '.']","It 's really bad application receive crypto wallets ca n't send , 's complete , addresses , n't , plus transaction fees expensive , lots bugs , I 'm really sorry I used application ."
7ff5b35e-2795-472a-8efa-9c8efcb47afc,Zidane Alzaidane,"Kadang klo kita pakai limit order transaksi untuk status 'matched' lama bgt jadi harus menunggu waktu bahkan sampai terlewatkan timing in the market suatu asset, seperti nya disengaja ya seperti ditahan-tahan, saya masih B1 sudah seharian lebih saya menunggu saya kehilangan kesempatan saya buat trade!",1,2.42.0,10/2/2024,2.42.0,Kadang klo kita pakai limit order transaksi untuk status matched lama bgt jadi harus menunggu waktu bahkan sampai terlewatkan timing in the market suatu asset seperti nya disengaja ya seperti ditahantahan saya masih B1 sudah seharian lebih saya menunggu saya kehilangan kesempatan saya buat trade,kadang klo kita pakai limit order transaksi untuk status matched lama bgt jadi harus menunggu waktu bahkan sampai terlewatkan timing in the market suatu asset seperti nya disengaja ya seperti ditahantahan saya masih b1 sudah seharian lebih saya menunggu saya kehilangan kesempatan saya buat trade,kadang klo kita pakai limit order transaksi untuk status matched lama bgt jadi harus menunggu waktu bahkan sampai terlewatkan timing in the market suatu asset seperti nya disengaja ya seperti ditahantahan saya masih b1 sudah seharian lebih saya menunggu saya kehilangan kesempatan saya buat trade,kadang kalo kita pakai limit order transaksi untuk status matched lama banget jadi harus menunggu waktu bahkan sampai terlewatkan timing ini the market suatu asset seperti nya disengaja ya seperti ditahantahan saya masih b1 sudah seharian lebih saya menunggu saya kehilangan kesempatan saya buat trade,"Sometimes if we use a limit order, the transaction for matched status takes a long time, so we have to wait for a while, even to the point of missing the timing of the market for an asset, it seems like it's being held up on purpose, I'm still at B1, I've been waiting for more than a day, I lost my chance to trade","['Sometimes', 'if', 'we', 'use', 'a', 'limit', 'order', ',', 'the', 'transaction', 'for', 'matched', 'status', 'takes', 'a', 'long', 'time', ',', 'so', 'we', 'have', 'to', 'wait', 'for', 'a', 'while', ',', 'even', 'to', 'the', 'point', 'of', 'missing', 'the', 'timing', 'of', 'the', 'market', 'for', 'an', 'asset', ',', 'it', 'seems', 'like', 'it', ""'s"", 'being', 'held', 'up', 'on', 'purpose', ',', 'I', ""'m"", 'still', 'at', 'B1', ',', 'I', ""'ve"", 'been', 'waiting', 'for', 'more', 'than', 'a', 'day', ',', 'I', 'lost', 'my', 'chance', 'to', 'trade']","['Sometimes', 'use', 'limit', 'order', ',', 'transaction', 'matched', 'status', 'takes', 'long', 'time', ',', 'wait', ',', 'even', 'point', 'missing', 'timing', 'market', 'asset', ',', 'seems', 'like', ""'s"", 'held', 'purpose', ',', 'I', ""'m"", 'still', 'B1', ',', 'I', ""'ve"", 'waiting', 'day', ',', 'I', 'lost', 'chance', 'trade']","Sometimes use limit order , transaction matched status takes long time , wait , even point missing timing market asset , seems like 's held purpose , I 'm still B1 , I 've waiting day , I lost chance trade"
d2ce6683-773d-4cf3-afc6-296ccf9949be,ChandraFt,"mohon maaf developer, mohon ya, kami para investor juga untuk entry atau exitnya harus cepat, gapakek lama harus nunggu proses withdraw lah, nunggu proses penarikan dan yang sejenisnya. mohon diperbaiki, masalahnya jika sudah waktunya exit dan di ajaib masih ada yg namanya ""proses withdraw"", ya keburu koin yang di targetkan sebelumnya untuk entry keburu ga dapet harga sesuai ditargetkan karena lamanya menunggu proses yang seperti itu, mohon dimengerti, terimakasih.",1,2.44.0,3/16/2024,2.44.0,mohon maaf developer mohon ya kami para investor juga untuk entry atau exitnya harus cepat gapakek lama harus nunggu proses withdraw lah nunggu proses penarikan dan yang sejenisnya mohon diperbaiki masalahnya jika sudah waktunya exit dan di ajaib masih ada yg namanya proses withdraw ya keburu koin yang di targetkan sebelumnya untuk entry keburu ga dapet harga sesuai ditargetkan karena lamanya menunggu proses yang seperti itu mohon dimengerti terimakasih,mohon maaf developer mohon ya kami para investor juga untuk entry atau exitnya harus cepat gapakek lama harus nunggu proses withdraw lah nunggu proses penarikan dan yang sejenisnya mohon diperbaiki masalahnya jika sudah waktunya exit dan di ajaib masih ada yg namanya proses withdraw ya keburu koin yang di targetkan sebelumnya untuk entry keburu ga dapet harga sesuai ditargetkan karena lamanya menunggu proses yang seperti itu mohon dimengerti terimakasih,mohon maaf developer mohon ya kami para investor juga untuk entry atau exitnya harus cepat gapakek lama harus nunggu proses withdraw lah nunggu proses penarikan dan yang sejenisnya mohon diperbaiki masalahnya jika sudah waktunya exit dan di ajaib masih ada yg namanya proses withdraw ya keburu koin yang di targetkan sebelumnya untuk entry keburu ga dapet harga sesuai ditargetkan karena lamanya menunggu proses yang seperti itu mohon dimengerti terimakasih,mohon maaf developer mohon ya kami para investor juga untuk entry atau exitnya harus cepat gapakek lama harus menunggu proses withdraw lah menunggu proses penarikan dan yang sejenisnya mohon diperbaiki masalahnya jika sudah waktunya exit dan di ajaib masih ada yang namanya proses withdraw ya keburu koin yang di targetkan sebelumnya untuk entry keburu enggak dapat harga sesuai ditargetkan karena lamanya menunggu proses yang seperti itu mohon dimengerti terimakasih,"I'm sorry, developer, please ask us investors to enter or exit quickly, don't take a long time to wait for the withdrawal process, wait for the withdrawal process and the like, please fix the problem if it's time to exit and miraculously there is still such a thing as a withdrawal process, so hurry up for the targeted coins. Previously, when entering, I didn't get the target price due to the long wait for such a process. Please understand, thank you","['I', ""'m"", 'sorry', ',', 'developer', ',', 'please', 'ask', 'us', 'investors', 'to', 'enter', 'or', 'exit', 'quickly', ',', 'do', ""n't"", 'take', 'a', 'long', 'time', 'to', 'wait', 'for', 'the', 'withdrawal', 'process', ',', 'wait', 'for', 'the', 'withdrawal', 'process', 'and', 'the', 'like', ',', 'please', 'fix', 'the', 'problem', 'if', 'it', ""'s"", 'time', 'to', 'exit', 'and', 'miraculously', 'there', 'is', 'still', 'such', 'a', 'thing', 'as', 'a', 'withdrawal', 'process', ',', 'so', 'hurry', 'up', 'for', 'the', 'targeted', 'coins', '.', 'Previously', ',', 'when', 'entering', ',', 'I', 'did', ""n't"", 'get', 'the', 'target', 'price', 'due', 'to', 'the', 'long', 'wait', 'for', 'such', 'a', 'process', '.', 'Please', 'understand', ',', 'thank', 'you']","['I', ""'m"", 'sorry', ',', 'developer', ',', 'please', 'ask', 'us', 'investors', 'enter', 'exit', 'quickly', ',', ""n't"", 'take', 'long', 'time', 'wait', 'withdrawal', 'process', ',', 'wait', 'withdrawal', 'process', 'like', ',', 'please', 'fix', 'problem', ""'s"", 'time', 'exit', 'miraculously', 'still', 'thing', 'withdrawal', 'process', ',', 'hurry', 'targeted', 'coins', '.', 'Previously', ',', 'entering', ',', 'I', ""n't"", 'get', 'target', 'price', 'due', 'long', 'wait', 'process', '.', 'Please', 'understand', ',', 'thank']","I 'm sorry , developer , please ask us investors enter exit quickly , n't take long time wait withdrawal process , wait withdrawal process like , please fix problem 's time exit miraculously still thing withdrawal process , hurry targeted coins . Previously , entering , I n't get target price due long wait process . Please understand , thank"
